,date,flight no,booster version,payload mass,orbit,launch site,landing type,outcome,flights,gridfins,reused,legs,landing pad,block,reused count,serial,longitude,latitude,cost per launch,customers,manufacterers
66,2018-08-07T05:18:00.000Z,67,Falcon 9,5800.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1046,-80.577366,28.5618571,50000000,['Telkom'],['SSL']
67,2018-09-10T04:45:00.000Z,68,Falcon 9,7060.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049,-80.577366,28.5618571,50000000,['Telesat'],['SSL']
68,2018-10-08T02:22:00.000Z,69,Falcon 9,2800.0,SSO,Vandenberg Space Force Base Space Launch Complex 4E,RTLS,True,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,4,B1048,-120.610829,34.632093,50000000,['CONAE'],['INVAP']
69,2018-11-15T20:46:00.000Z,70,Falcon 9,3000.0,GTO,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,2,B1047,-80.6039558,28.6080585,50000000,['Es’hailSat'],['Mitsubishi Electric']
70,2018-12-03T18:34:00.000Z,71,Falcon 9,4000.0,SSO,Vandenberg Space Force Base Space Launch Complex 4E,ASDS,True,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,3,B1046,-120.610829,34.632093,50000000,"['Spaceflight Industries, Inc']","['Spaceflight Industries, Inc']"
71,2018-12-05T18:16:00.000Z,72,Falcon 9,2573.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,RTLS,False,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1050,-80.577366,28.5618571,50000000,['NASA (CRS)'],['SpaceX']
72,2018-12-23T13:51:00.000Z,73,Falcon 9,4400.0,MEO,Cape Canaveral Space Force Station Space Launch Complex 40,,,1,False,False,False,,5.0,0,B1054,-80.577366,28.5618571,50000000,['USAF'],['Lockheed Martin']
73,2019-01-11T15:31:00.000Z,74,Falcon 9,9600.0,PO,Vandenberg Space Force Base Space Launch Complex 4E,ASDS,True,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1049,-120.610829,34.632093,50000000,['Iridium Communications'],['Thales Alenia Space']
74,2019-02-22T01:45:00.000Z,75,Falcon 9,5000.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4,B1048,-80.577366,28.5618571,50000000,['Pasifik Satelit Nusantara'],['SSL']
75,2019-03-02T07:45:00.000Z,76,Falcon 9,12259.0,ISS,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051,-80.6039558,28.6080585,50000000,['NASA (CCtCap)'],['SpaceX']
76,2019-04-11T22:35:00.000Z,77,Falcon Heavy,6000.0,GTO,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1055,-80.6039558,28.6080585,90000000,['Arabsat'],['Lockheed Martin']
77,2019-05-04T06:48:00.000Z,78,Falcon 9,2482.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056,-80.577366,28.5618571,50000000,['NASA (CRS)'],['SpaceX']
78,2019-05-24T02:30:00.000Z,79,Falcon 9,13200.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
79,2019-06-12T14:17:00.000Z,80,Falcon 9,1425.0,SSO,Vandenberg Space Force Base Space Launch Complex 4E,RTLS,True,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,12,B1051,-120.610829,34.632093,50000000,['CSA'],['Maxar Technologies']
80,2019-06-25T03:30:00.000Z,81,Falcon Heavy,600.0,MEO,Kennedy Space Center Historic Launch Complex 39A,ASDS,False,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1057,-80.6039558,28.6080585,90000000,['USAF'],['Sierra Nevada Corporation']
81,2019-07-25T22:01:00.000Z,82,Falcon 9,2227.7,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,RTLS,True,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,3,B1056,-80.577366,28.5618571,50000000,['NASA (CRS)'],['SpaceX']
82,2019-08-06T22:52:00.000Z,83,Falcon 9,6500.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,,,3,False,True,False,,5.0,2,B1047,-80.577366,28.5618571,50000000,['Spacecom'],['Boeing Satellite Systems']
83,2019-11-11T14:56:00.000Z,84,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4,B1048,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
84,2019-12-05T17:29:23.000Z,85,Falcon 9,5000.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1059,-80.577366,28.5618571,50000000,['NASA (CRS)'],['SpaceX']
85,2019-12-17T00:10:00.000Z,86,Falcon 9,6800.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056,-80.577366,28.5618571,50000000,"['SKY Perfect JSAT Corporation', 'Kacific Broadband Satellites Pte Ltd']",['Boeing Satellite Systems']
86,2020-01-07T02:19:00.000Z,87,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
87,2020-01-19T14:00:00.000Z,88,Falcon 9,,SO,Kennedy Space Center Historic Launch Complex 39A,,,4,False,True,False,,5.0,3,B1046,-80.6039558,28.6080585,50000000,['NASA (CCtCap)'],['SpaceX']
88,2020-01-29T14:06:00.000Z,89,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
89,2020-02-17T15:05:55.000Z,90,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,False,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
90,2020-03-07T04:50:31.000Z,91,Falcon 9,1977.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,RTLS,True,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5,B1059,-80.577366,28.5618571,50000000,['NASA (CRS)'],['SpaceX']
91,2020-03-18T12:16:00.000Z,92,Falcon 9,15600.0,VLEO,Kennedy Space Center Historic Launch Complex 39A,ASDS,False,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4,B1048,-80.6039558,28.6080585,50000000,['SpaceX'],['SpaceX']
92,2020-04-22T19:30:00.000Z,93,Falcon 9,15600.0,VLEO,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051,-80.6039558,28.6080585,50000000,['SpaceX'],['SpaceX']
93,2020-05-30T19:22:00.000Z,94,Falcon 9,9525.0,ISS,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,13,B1058,-80.6039558,28.6080585,50000000,['NASA (CCtCap)'],['SpaceX']
94,2020-06-04T01:25:00.000Z,95,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,5,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1049,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
95,2020-06-13T09:21:00.000Z,96,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1059,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
96,2020-06-30T19:55:00.000Z,97,Falcon 9,3880.0,MEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1060,-80.577366,28.5618571,50000000,['USAF'],['Lockheed Martin']
97,2020-07-20T21:30:00.000Z,98,Falcon 9,,GEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13,B1058,-80.577366,28.5618571,50000000,['South Korea'],['South Korea']
